Round,Umpire,Home,Out
1,1,1,8
1,2,4,3
1,3,5,10
1,4,6,7
1,5,9,2
2,1,7,2
2,2,1,10
2,3,4,9
2,4,5,8
2,5,6,3
3,1,6,8
3,2,3,9
3,3,1,5
3,4,7,10
3,5,4,2
4,1,3,4
4,2,7,5
4,3,2,9
4,4,8,1
4,5,10,6
5,1,10,1
5,2,8,6
5,3,3,7
5,4,9,5
5,5,2,4
6,1,2,7
6,2,9,1
6,3,6,4
6,4,10,8
6,5,5,3
7,1,1,3
7,2,5,2
7,3,8,9
7,4,4,7
7,5,6,10
8,1,5,6
8,2,10,9
8,3,7,3
8,4,1,2
8,5,8,4
9,1,3,2
9,2,1,6
9,3,10,4
9,4,8,5
9,5,7,9
10,1,7,4
10,2,3,8
10,3,2,1
10,4,9,6
10,5,10,5
11,1,6,5
11,2,9,7
11,3,3,10
11,4,2,8
11,5,4,1
12,1,9,3
12,2,6,1
12,3,4,8
12,4,5,7
12,5,2,10
13,1,4,10
13,2,8,3
13,3,5,9
13,4,6,2
13,5,1,7
14,1,8,2
14,2,7,6
14,3,10,3
14,4,1,9
14,5,5,4
15,1,1,4
15,2,10,2
15,3,6,9
15,4,3,5
15,5,7,8
16,1,2,5
16,2,9,4
16,3,7,1
16,4,8,10
16,5,3,6
17,1,3,1
17,2,2,6
17,3,9,10
17,4,4,5
17,5,8,7
18,1,9,8
18,2,5,1
18,3,2,3
18,4,10,7
18,5,4,6
