Round,Umpire,Home,Out
1,1,1,8
1,2,4,3
1,3,5,10
1,4,6,7
1,5,9,2
2,1,7,2
2,2,1,10
2,3,6,3
2,4,4,9
2,5,5,8
3,1,6,8
3,2,3,9
3,3,7,10
3,4,1,5
3,5,4,2
4,1,2,9
4,2,10,6
4,3,8,1
4,4,3,4
4,5,7,5
5,1,3,7
5,2,9,5
5,3,2,4
5,4,10,1
5,5,8,6
6,1,9,1
6,2,6,4
6,3,10,8
6,4,5,3
6,5,2,7
7,1,5,2
7,2,8,9
7,3,4,7
7,4,6,10
7,5,1,3
8,1,10,9
8,2,7,3
8,3,1,2
8,4,8,4
8,5,5,6
9,1,1,6
9,2,10,4
9,3,8,5
9,4,7,9
9,5,3,2
10,1,3,8
10,2,9,6
10,3,7,4
10,4,2,1
10,5,10,5
11,1,4,1
11,2,2,8
11,3,6,5
11,4,3,10
11,5,9,7
12,1,2,10
12,2,5,7
12,3,9,3
12,4,4,8
12,5,6,1
13,1,5,9
13,2,6,2
13,3,4,10
13,4,1,7
13,5,8,3
14,1,8,2
14,2,10,3
14,3,1,9
14,4,5,4
14,5,7,6
15,1,6,9
15,2,1,4
15,3,3,5
15,4,7,8
15,5,10,2
16,1,7,1
16,2,2,5
16,3,8,10
16,4,9,4
16,5,3,6
17,1,9,10
17,2,3,1
17,3,2,6
17,4,8,7
17,5,4,5
18,1,5,1
18,2,9,8
18,3,10,7
18,4,4,6
18,5,2,3
