Round,Umpire,Home,Out
1,1,1,8
1,2,4,3
1,3,5,10
1,4,6,7
1,5,9,2
2,1,6,3
2,2,5,8
2,3,7,2
2,4,4,9
2,5,1,10
3,1,4,2
3,2,7,10
3,3,6,8
3,4,1,5
3,5,3,9
4,1,7,5
4,2,3,4
4,3,2,9
4,4,10,6
4,5,8,1
5,1,10,1
5,2,9,5
5,3,8,6
5,4,3,7
5,5,2,4
6,1,5,3
6,2,2,7
6,3,9,1
6,4,6,4
6,5,10,8
7,1,6,10
7,2,8,9
7,3,4,7
7,4,5,2
7,5,1,3
8,1,8,4
8,2,1,2
8,3,10,9
8,4,7,3
8,5,5,6
9,1,3,2
9,2,10,4
9,3,1,6
9,4,8,5
9,5,7,9
10,1,10,5
10,2,9,6
10,3,7,4
10,4,2,1
10,5,3,8
11,1,9,7
11,2,2,8
11,3,3,10
11,4,6,5
11,5,4,1
12,1,2,10
12,2,6,1
12,3,5,7
12,4,4,8
12,5,9,3
13,1,8,3
13,2,4,10
13,3,6,2
13,4,5,9
13,5,1,7
14,1,5,4
14,2,1,9
14,3,10,3
14,4,7,6
14,5,8,2
15,1,7,8
15,2,10,2
15,3,1,4
15,4,3,5
15,5,6,9
16,1,3,6
16,2,9,4
16,3,2,5
16,4,8,10
16,5,7,1
17,1,9,10
17,2,3,1
17,3,8,7
17,4,2,6
17,5,4,5
18,1,2,3
18,2,4,6
18,3,5,1
18,4,9,8
18,5,10,7
