Round,Umpire,Home,Out
1,1,1,2
1,2,5,3
1,3,7,10
1,4,9,8
1,5,11,4
1,6,12,6
2,1,5,4
2,2,11,6
2,3,1,3
2,4,7,2
2,5,12,8
2,6,9,10
3,1,11,8
3,2,12,10
3,3,5,6
3,4,4,3
3,5,9,2
3,6,7,1
4,1,3,5
4,2,8,9
4,3,4,12
4,4,2,7
4,5,6,1
4,6,10,11
5,1,2,12
5,2,6,4
5,3,3,7
5,4,8,11
5,5,10,9
5,6,5,1
6,1,4,8
6,2,9,11
6,3,6,2
6,4,1,10
6,5,7,5
6,6,3,12
7,1,7,9
7,2,10,3
7,3,11,1
7,4,12,5
7,5,8,2
7,6,4,6
8,1,12,1
8,2,4,9
8,3,10,2
8,4,6,7
8,5,11,5
8,6,8,3
9,1,10,8
9,2,2,11
9,3,7,3
9,4,5,12
9,5,1,4
9,6,6,9
10,1,1,12
10,2,7,6
10,3,9,4
10,4,3,11
10,5,5,8
10,6,2,10
11,1,5,10
11,2,12,4
11,3,1,8
11,4,9,6
11,5,3,2
11,6,7,11
12,1,6,3
12,2,11,10
12,3,2,5
12,4,8,7
12,5,4,1
12,6,9,12
13,1,2,1
13,2,8,12
13,3,3,9
13,4,4,5
13,5,6,11
13,6,10,7
14,1,7,8
14,2,3,1
14,3,6,5
14,4,2,9
14,5,10,12
14,6,4,11
15,1,12,11
15,2,5,2
15,3,8,10
15,4,7,4
15,5,9,3
15,6,1,6
16,1,10,4
16,2,9,7
16,3,12,3
16,4,1,5
16,5,8,6
16,6,11,2
17,1,9,1
17,2,10,6
17,3,5,7
17,4,11,3
17,5,12,2
17,6,8,4
18,1,4,7
18,2,2,8
18,3,1,11
18,4,5,9
18,5,3,10
18,6,6,12
19,1,6,10
19,2,1,9
19,3,7,12
19,4,3,8
19,5,4,2
19,6,5,11
20,1,1,7
20,2,11,12
20,3,9,5
20,4,4,10
20,5,6,8
20,6,2,3
21,1,3,6
21,2,8,1
21,3,11,7
21,4,12,9
21,5,2,4
21,6,10,5
22,1,8,5
22,2,3,4
22,3,2,6
22,4,10,1
22,5,11,9
22,6,12,7
